{'loss': '0.02081', 'grad_norm': '0.09672', 'learning_rate': '9.188e-06', 'epoch': '2.863'}
{'loss': '0.02889', 'grad_norm': '0.365', 'learning_rate': '9.077e-06', 'epoch': '2.865'}
{'loss': '0.02122', 'grad_norm': '0.08678', 'learning_rate': '8.966e-06', 'epoch': '2.867'}
{'loss': '0.02479', 'grad_norm': '0.1611', 'learning_rate':'8.854e-06', 'epoch': '2.868'}
{'loss': '0.02258', 'grad_norm': '0.2421', 'learning_rate':'8.743e-06', 'epoch': '2.87'}
{'loss': '0.02467', 'grad_norm': '0.3034', 'learning_rate':'8.632e-06', 'epoch': '2.872'}
{'loss': '0.02014', 'grad_norm': '0.05984', 'learning_rate': '8.521e-06', 'epoch': '2.873'}
{'loss': '0.02276', 'grad_norm': '0.07929', 'learning_rate': '8.409e-06', 'epoch': '2.875'}
{'loss': '0.0217', 'grad_norm': '0.1004', 'learning_rate': '8.298e-06', 'epoch': '2.877'}
{'loss': '0.01846', 'grad_norm': '0.1192', 'learning_rate':'8.187e-06', 'epoch': '2.878'}
{'loss': '0.02475', 'grad_norm': '0.075', 'learning_rate': '8.076e-06', 'epoch': '2.88'}
{'loss': '0.02624', 'grad_norm': '0.2484', 'learning_rate':'7.964e-06', 'epoch': '2.882'}
